anio,mes,linea,linea-uri,linea-cdmx,same_as_wikidata_linea,estacion-uri,same_as_wikidata_estaciones,afluencia-media
2010,--04,Linea 8,linea-8,Line 8,https://wikidata.org/entity/Q1149545,Aculco,https://wikidata.org/entity/Q6824471,11294.733333333334
2010,--04,Linea 8,linea-8,Line 8,https://wikidata.org/entity/Q1149545,Apatlaco,https://wikidata.org/entity/Q6824476,11977.3
2010,--04,Linea 8,linea-8,Line 8,https://wikidata.org/entity/Q1149545,Atlalilco,https://wikidata.org/entity/Q6824487,17513.1
2010,--04,Linea 8,linea-8,Line 8,https://wikidata.org/entity/Q1149545,Bellas Artes,https://wikidata.org/entity/Q2541953,20079.133333333335
2010,--04,Linea 8,linea-8,Line 8,https://wikidata.org/entity/Q1149545,Cerro de la Estrella,https://wikidata.org/entity/Q8344273,13023.4
2010,--04,Linea 8,linea-8,Line 8,https://wikidata.org/entity/Q1149545,Chabacano,https://wikidata.org/entity/Q3317707,3890.133333333333
2010,--04,Linea 8,linea-8,Line 8,https://wikidata.org/entity/Q1149545,Constitución de 1917,https://wikidata.org/entity/Q6824546,86307.3
2010,--04,Linea 8,linea-8,Line 8,https://wikidata.org/entity/Q1149545,Coyuya,https://wikidata.org/entity/Q6824553,21586.966666666667
2010,--04,Linea 8,linea-8,Line 8,https://wikidata.org/entity/Q1149545,Doctores,https://wikidata.org/entity/Q2837042,10867.033333333333
2010,--04,Linea 8,linea-8,Line 8,https://wikidata.org/entity/Q1149545,Escuadrón 201,https://wikidata.org/entity/Q3431185,24677.733333333334
2010,--04,Linea 8,linea-8,Line 8,https://wikidata.org/entity/Q1149545,Garibaldi/Lagunilla,https://wikidata.org/entity/Q1147620,21785.6
2010,--04,Linea 8,linea-8,Line 8,https://wikidata.org/entity/Q1149545,Iztacalco,https://wikidata.org/entity/Q3431125,21241.333333333332
2010,--04,Linea 8,linea-8,Line 8,https://wikidata.org/entity/Q1149545,Iztapalapa,https://wikidata.org/entity/Q4204314,10517.066666666668
2010,--04,Linea 8,linea-8,Line 8,https://wikidata.org/entity/Q1149545,La Viga,https://wikidata.org/entity/Q9019049,6721.6
2010,--04,Linea 8,linea-8,Line 8,https://wikidata.org/entity/Q1149545,Obrera,https://wikidata.org/entity/Q6824651,14359.3
2010,--04,Linea 8,linea-8,Line 8,https://wikidata.org/entity/Q1149545,Salto del Agua,https://wikidata.org/entity/Q740243,17954.9
2010,--04,Linea 8,linea-8,Line 8,https://wikidata.org/entity/Q1149545,San Juan de Letrán,https://wikidata.org/entity/Q5691609,28382.866666666665
2010,--04,Linea 8,linea-8,Line 8,https://wikidata.org/entity/Q1149545,Santa Anita,https://wikidata.org/entity/Q6824703,7090.833333333333
2010,--04,Linea 8,linea-8,Line 8,https://wikidata.org/entity/Q1149545,UAM-I,https://wikidata.org/entity/Q6824756,22610.4
2010,--04,Linea 9,linea-9,Line 9,https://wikidata.org/entity/Q3239046,Centro Médico,https://wikidata.org/entity/Q5810513,6653.4
